word,a_to_h_letter_count,frequency_score,a_to_h_sequence,match_status,puzzle_id,fen,moves,rating,rating_deviation,popularity,nb_plays,themes,lichess_url,opening_tags,daily_date
"hefty","3","905","hef","exact","hIrcd","r1b2r2/ppp1k1p1/8/3Pp2Q/2P5/3P1n1P/PP1N2q1/R2K1R2 b - - 1 23","f3d2 h5e5 c8e6 e5e6 e7d8 f1f8","1615","75","100","270","deflection exposedKing long mate mateIn3 middlegame","https://lichess.org/JlOtwgCE/black#46","",""
"chick","3","904","chc","exact","Snt5C","2k5/5p1p/2q1p3/8/8/2n1P3/Q6P/3RK2R w K - 1 27","a2c2 c6h1 e1d2 h1d1 c2d1 c3d1","1628","75","100","475","crushing endgame exposedKing hangingPiece long skewer","https://lichess.org/x7DSv4mb#53","",""
"canal","3","903","caa","exact","Of3J4","5R2/4k3/8/p7/2r2p2/2P2K2/8/8 w - - 10 51","f8f4 c4f4 f3f4 a5a4 f4e3 a4a3","1599","75","100","448","crushing endgame long quietMove rookEndgame","https://lichess.org/ygYbZTdJ#101","",""
"slash","2","901","ah","exact","l19RJ","5K2/1p5r/r7/8/3k1P2/2pP4/2P3R1/4R3 w - - 0 46","f4f5 a6a8 e1e8 h7h8","1591","75","100","642","crushing endgame rookEndgame short","https://lichess.org/CzZ2R16I#91","",""
"prude","2","898","de","exact","fF4Hn","1q4k1/3n1p1p/2p1b1p1/p1n1P3/P2QN3/2N4P/2B3P1/7K b - - 2 41","b8e5 d4e5 d7e5 e4c5","1594","75","100","468","advantage capturingDefender master middlegame short","https://lichess.org/RkuIeoHl/black#82","",""
"heavy","3","897","hea","exact","wSlaK","8/6B1/3kp2p/3p3P/5KP1/8/p7/8 w - - 0 58","g4g5 h6g5 f4g5 e6e5 h5h6 a2a1q","1609","75","98","3618","advancedPawn bishopEndgame crushing endgame long promotion quietMove","https://lichess.org/xtcQEyLb#115","",""
"wield","2","896","ed","exact","N30Tg","3rr1k1/p1p2pb1/2p3pp/3b4/B7/2P1B2P/PP3PP1/R3R1K1 w - - 1 20","e3a7 e8e1 a1e1 d8a8","1601","76","100","510","advantage middlegame short","https://lichess.org/UIqdxOLc#39","",""
"femme","3","895","fee","exact","3UcPO","5k2/p5p1/2P3p1/8/4p2P/8/P4K2/8 b - - 0 42","f8e8 f2e3 e8e7 e3e4 e7d6 e4f4","1596","74","100","409","crushing defensiveMove endgame long pawnEndgame","https://lichess.org/DZ9QMY9X/black#84","",""
"shale","3","892","hae","exact","yqvPH","r1b5/pp1np2k/2p3pp/4Pr2/2P5/2N4B/PP3P1P/R3R1K1 b - - 2 19","f5e5 h3d7 e5e1 a1e1 c8d7 e1e7","1367","77","99","4425","advantage long middlegame","https://lichess.org/Fn3VAUzB/black#38","",""
"screw","2","891","ce","exact","g2eFO","2r1k2r/pp2nppp/4p3/3pP3/2qN1PPP/1N1Q4/PP6/R3K2R w KQk - 3 18","a1c1 c4d3 c1c8 e7c8","1586","75","100","1149","crushing hangingPiece middlegame short","https://lichess.org/sGDsWiDO#35","Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation",""
"whiff","3","889","hff","exact","5JI5H","4r1k1/pp2qp2/2p2b1Q/3p1P2/3Pr3/P1P2RP1/1P3RKP/8 b - - 0 31","f6g7 h6g7 g8g7 f5f6 g7g8 f6e7","1595","74","100","718","advancedPawn advantage attraction fork long middlegame sacrifice","https://lichess.org/0m1yRr2o/black#62","",""
"scent","2","888","ce","exact","vKVW4","3R4/5pkp/2q1p1p1/P1b1P3/2Q5/8/5PPP/6K1 w - - 2 37","c4h4 c5e7 h4f4 e7d8","1586","75","100","869","advantage endgame interference short","https://lichess.org/wSy0F8Zk#73","",""
"glade","4","887","gade","exact","1es2I","r2qk2r/5p2/b1pp1n1p/p1b1p1p1/4P3/2N1Q1B1/PPP2PPP/2KR1B1R w kq - 4 14","e3f3 g5g4 f3f5 a6c8 f5e5 d6e5 d1d8 e8d8","1584","76","93","1615","advantage middlegame trappedPiece veryLong","https://lichess.org/YoZ2J7mB#27","Sicilian_Defense Sicilian_Defense_Lowenthal_Variation",""
"orbit","1","883","b","exact","Xgj1H","r4r1k/1b3p1p/5p2/1pp2NP1/1b5Q/1P2P2P/qB6/2K4R b - - 1 27","b7e4 b2f6 h8g8 f5e7","1599","75","100","194","kingsideAttack mate mateIn2 middlegame short","https://lichess.org/UHTzZdNv/black#54","",""
"cocoa","3","882","cca","exact","rXKAL","2k1r2r/Qpp5/p2P3p/5pp1/1q6/4PNP1/P4PP1/2R2K2 b - - 0 25","c8d7 c1c7 d7d6 c7b7 b4b7 a7b7","1602","75","100","337","crushing endgame long","https://lichess.org/rKNlKVfd/black#50","",""
"guilt","1","881","g","exact","HC1lx","2r2r2/1b3kpp/p4b2/1p2q2P/2n3Q1/P1N5/1PPB4/2KRR3 b - - 3 27","e5c7 g4e6","1618","75","100","1700","mate mateIn1 middlegame oneMove","https://lichess.org/aM5rUQNP/black#54","",""
"shush","2","879","hh","exact","5eecN","5r2/4nr2/3p1pk1/4p2R/2P1P3/3P2P1/pb4K1/7R b - - 3 39","a2a1q h5h6 g6g7 h6h7","1599","120","100","53","equality middlegame short","https://lichess.org/esSNITB7/black#78","",""
